Array Design Name	Exiqon miRCURY LNA microRNA Array v.10.0 - hsa, mmu & rno, miRBase 12.0 annotation
Provider	Eleanor Williams (ewilliam@ebi.ac.uk);Exiqon A/S
Comment[ArrayExpressAccession]	A-MEXP-1469
Comment[Description]	Exiqon miRCURY LNA microRNA Array<br> Product number 208100_A  <br> miRBase 12.00 annotation<br> Contains human, mouse and rat sequences <br> 
Comment[SubmittedName]	Exiqon miRCURY LNA microRNA Array v.10.0 - hsa, mmu & rno, miRBase 12.0 annotation
Comment[Organism]	Homo sapiens
Printing Protocol	Arrays manufactured by Exiqon (http://www.exiqon.com) using LNA (a high affinity RNA analogue) technology.
Technology Type	unknown_technology_type
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Substrate Type	unknown_substrate_type
Term Source Name	The MGED Ontology	mirbase
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://microrna.sanger.ac.uk/
Term Source Version	
Comment[AdditionalFile:txt]	A-MEXP-1469_comments.txt

[main]
Block Column	Block Row	Column	Row	Reporter Name	Reporter Database Entry[mirbase]	Reporter Group[role]	Control Type
2	2	1	4	17646	ebv-miR-BHRF1-3	Experimental	
2	4	1	4	17646	ebv-miR-BHRF1-3	Experimental	
2	6	1	4	17646	ebv-miR-BHRF1-3	Experimental	
2	8	1	4	17646	ebv-miR-BHRF1-3	Experimental	
2	1	16	3	17508	hcmv-miR-UL112	Experimental	
2	3	16	3	17508	hcmv-miR-UL112	Experimental	
2	5	16	3	17508	hcmv-miR-UL112	Experimental	
2	7	16	3	17508	hcmv-miR-UL112	Experimental	
2	2	15	4	42782	hcmv-miR-UL148D	Experimental	
2	4	15	4	42782	hcmv-miR-UL148D	Experimental	
2	6	15	4	42782	hcmv-miR-UL148D	Experimental	
2	8	15	4	42782	hcmv-miR-UL148D	Experimental	
3	2	5	3	17631	hcmv-miR-UL22A	Experimental	
3	4	5	3	17631	hcmv-miR-UL22A	Experimental	
3	6	5	3	17631	hcmv-miR-UL22A	Experimental	
3	8	5	3	17631	hcmv-miR-UL22A	Experimental	
3	1	8	1	17299	hcmv-miR-UL22A*	Experimental	
3	3	8	1	17299	hcmv-miR-UL22A*	Experimental	
3	5	8	1	17299	hcmv-miR-UL22A*	Experimental	
3	7	8	1	17299	hcmv-miR-UL22A*	Experimental	
3	2	15	3	17439	hcmv-miR-UL36	Experimental	
3	4	15	3	17439	hcmv-miR-UL36	Experimental	
3	6	15	3	17439	hcmv-miR-UL36	Experimental	
3	8	15	3	17439	hcmv-miR-UL36	Experimental	
2	2	1	7	42610	hcmv-miR-UL36*	Experimental	
2	4	1	7	42610	hcmv-miR-UL36*	Experimental	
2	6	1	7	42610	hcmv-miR-UL36*	Experimental	
2	8	1	7	42610	hcmv-miR-UL36*	Experimental	
1	2	13	1	27541	hcmv-miR-UL70-3p	Experimental	
1	4	13	1	27541	hcmv-miR-UL70-3p	Experimental	
1	6	13	1	27541	hcmv-miR-UL70-3p	Experimental	
1	8	13	1	27541	hcmv-miR-UL70-3p	Experimental	
3	1	2	6	42497	hcmv-miR-UL70-5p	Experimental	
3	3	2	6	42497	hcmv-miR-UL70-5p	Experimental	
3	5	2	6	42497	hcmv-miR-UL70-5p	Experimental	
3	7	2	6	42497	hcmv-miR-UL70-5p	Experimental	
4	2	11	6	42905	hcmv-miR-US25-1	Experimental	
4	4	11	6	42905	hcmv-miR-US25-1	Experimental	
4	6	11	6	42905	hcmv-miR-US25-1	Experimental	
4	8	11	6	42905	hcmv-miR-US25-1	Experimental	
1	1	14	6	42458	hcmv-miR-US25-1*	Experimental	
1	3	14	6	42458	hcmv-miR-US25-1*	Experimental	
1	5	14	6	42458	hcmv-miR-US25-1*	Experimental	
1	7	14	6	42458	hcmv-miR-US25-1*	Experimental	
1	2	9	1	17529	hcmv-miR-US25-2-3p	Experimental	
1	4	9	1	17529	hcmv-miR-US25-2-3p	Experimental	
1	6	9	1	17529	hcmv-miR-US25-2-3p	Experimental	
1	8	9	1	17529	hcmv-miR-US25-2-3p	Experimental	
1	2	10	1	17619	hcmv-miR-US25-2-5p	Experimental	
1	4	10	1	17619	hcmv-miR-US25-2-5p	Experimental	
1	6	10	1	17619	hcmv-miR-US25-2-5p	Experimental	
1	8	10	1	17619	hcmv-miR-US25-2-5p	Experimental	
2	2	4	7	42755	hcmv-miR-US33-3p	Experimental	
2	4	4	7	42755	hcmv-miR-US33-3p	Experimental	
2	6	4	7	42755	hcmv-miR-US33-3p	Experimental	
2	8	4	7	42755	hcmv-miR-US33-3p	Experimental	
1	1	2	6	42501	hcmv-miR-US33-5p	Experimental	
1	3	2	6	42501	hcmv-miR-US33-5p	Experimental	
1	5	2	6	42501	hcmv-miR-US33-5p	Experimental	
1	7	2	6	42501	hcmv-miR-US33-5p	Experimental	
1	2	12	4	42642	hcmv-miR-US4	Experimental	
1	4	12	4	42642	hcmv-miR-US4	Experimental	
1	6	12	4	42642	hcmv-miR-US4	Experimental	
1	8	12	4	42642	hcmv-miR-US4	Experimental	
1	1	4	3	17499	hcmv-miR-US5-1	Experimental	
1	3	4	3	17499	hcmv-miR-US5-1	Experimental	
1	5	4	3	17499	hcmv-miR-US5-1	Experimental	
1	7	4	3	17499	hcmv-miR-US5-1	Experimental	
3	2	9	1	17520	hcmv-miR-US5-2	Experimental	
3	4	9	1	17520	hcmv-miR-US5-2	Experimental	
3	6	9	1	17520	hcmv-miR-US5-2	Experimental	
3	8	9	1	17520	hcmv-miR-US5-2	Experimental	
2	1	10	4	42533	hiv1-miR-H1	Experimental	
2	3	10	4	42533	hiv1-miR-H1	Experimental	
2	5	10	4	42533	hiv1-miR-H1	Experimental	
2	7	10	4	42533	hiv1-miR-H1	Experimental	
2	1	16	5	31038	hiv1-miR-N367	Experimental	
2	3	16	5	31038	hiv1-miR-N367	Experimental	
2	5	16	5	31038	hiv1-miR-N367	Experimental	
2	7	16	5	31038	hiv1-miR-N367	Experimental	
4	1	6	1	19011	hsa_SNORD10	Experimental	
4	3	6	1	19011	hsa_SNORD10	Experimental	
4	5	6	1	19011	hsa_SNORD10	Experimental	
4	7	6	1	19011	hsa_SNORD10	Experimental	
3	1	6	1	19005	hsa_SNORD118	Experimental	
3	3	6	1	19005	hsa_SNORD118	Experimental	
3	5	6	1	19005	hsa_SNORD118	Experimental	
3	7	6	1	19005	hsa_SNORD118	Experimental	
2	1	6	1	19606	hsa_SNORD12	Experimental	
2	3	6	1	19606	hsa_SNORD12	Experimental	
2	5	6	1	19606	hsa_SNORD12	Experimental	
2	7	6	1	19606	hsa_SNORD12	Experimental	
1	1	6	1	19603	hsa_SNORD13	Experimental	
1	3	6	1	19603	hsa_SNORD13	Experimental	
1	5	6	1	19603	hsa_SNORD13	Experimental	
1	7	6	1	19603	hsa_SNORD13	Experimental	
4	1	4	2	19013	hsa_SNORD14B	Experimental	
4	3	4	2	19013	hsa_SNORD14B	Experimental	
4	5	4	2	19013	hsa_SNORD14B	Experimental	
4	7	4	2	19013	hsa_SNORD14B	Experimental	
4	2	6	1	19607	hsa_SNORD15A	Experimental	
4	4	6	1	19607	hsa_SNORD15A	Experimental	
4	6	6	1	19607	hsa_SNORD15A	Experimental	
4	8	6	1	19607	hsa_SNORD15A	Experimental	
3	2	6	1	19008	hsa_SNORD2	Experimental	
3	4	6	1	19008	hsa_SNORD2	Experimental	
3	6	6	1	19008	hsa_SNORD2	Experimental	
3	8	6	1	19008	hsa_SNORD2	Experimental	
2	2	6	1	19007	hsa_SNORD3@	Experimental	
2	4	6	1	19007	hsa_SNORD3@	Experimental	
2	6	6	1	19007	hsa_SNORD3@	Experimental	
2	8	6	1	19007	hsa_SNORD3@	Experimental	
1	2	6	1	19604	hsa_SNORD4A	Experimental	
1	4	6	1	19604	hsa_SNORD4A	Experimental	
1	6	6	1	19604	hsa_SNORD4A	Experimental	
1	8	6	1	19604	hsa_SNORD4A	Experimental	
4	2	4	2	19605	hsa_SNORD6	Experimental	
4	4	4	2	19605	hsa_SNORD6	Experimental	
4	6	4	2	19605	hsa_SNORD6	Experimental	
4	8	4	2	19605	hsa_SNORD6	Experimental	
2	1	10	2	17888	mmu-let-7c-2*	Experimental	
2	3	10	2	17888	mmu-let-7c-2*	Experimental	
2	5	10	2	17888	mmu-let-7c-2*	Experimental	
2	7	10	2	17888	mmu-let-7c-2*	Experimental	
1	1	16	9	17748	rno-let-7a	Experimental	
1	3	16	9	17748	rno-let-7a	Experimental	
1	5	16	9	17748	rno-let-7a	Experimental	
1	7	16	9	17748	rno-let-7a	Experimental	
4	1	9	6	42769	rno-let-7b*	Experimental	
4	3	9	6	42769	rno-let-7b*	Experimental	
4	5	9	6	42769	rno-let-7b*	Experimental	
4	7	9	6	42769	rno-let-7b*	Experimental	
4	1	7	8	29502	rno-let-7b	Experimental	
4	3	7	8	29502	rno-let-7b	Experimental	
4	5	7	8	29502	rno-let-7b	Experimental	
4	7	7	8	29502	rno-let-7b	Experimental	
2	2	5	6	42653	hsa-let-7c*	Experimental	
2	4	5	6	42653	hsa-let-7c*	Experimental	
2	6	5	6	42653	hsa-let-7c*	Experimental	
2	8	5	6	42653	hsa-let-7c*	Experimental	
4	1	16	9	19004	rno-let-7c	Experimental	
4	3	16	9	19004	rno-let-7c	Experimental	
4	5	16	9	19004	rno-let-7c	Experimental	
4	7	16	9	19004	rno-let-7c	Experimental	
2	1	15	6	42505	rno-let-7d*	Experimental	
2	3	15	6	42505	rno-let-7d*	Experimental	
2	5	15	6	42505	rno-let-7d*	Experimental	
2	7	15	6	42505	rno-let-7d*	Experimental	
3	1	3	9	17750	rno-let-7d	Experimental	
3	3	3	9	17750	rno-let-7d	Experimental	
3	5	3	9	17750	rno-let-7d	Experimental	
3	7	3	9	17750	rno-let-7d	Experimental	
2	2	11	5	42743	rno-let-7e*	Experimental	
2	4	11	5	42743	rno-let-7e*	Experimental	
2	6	11	5	42743	rno-let-7e*	Experimental	
2	8	11	5	42743	rno-let-7e*	Experimental	
4	2	8	4	42459	rno-let-7e	Experimental	
4	4	8	4	42459	rno-let-7e	Experimental	
4	6	8	4	42459	rno-let-7e	Experimental	
4	8	8	4	42459	rno-let-7e	Experimental	
1	1	3	9	17752	rno-let-7f	Experimental	
1	3	3	9	17752	rno-let-7f	Experimental	
1	5	3	9	17752	rno-let-7f	Experimental	
1	7	3	9	17752	rno-let-7f	Experimental	
1	1	12	5	42768	mmu-let-7f*	Experimental	
1	3	12	5	42768	mmu-let-7f*	Experimental	
1	5	12	5	42768	mmu-let-7f*	Experimental	
1	7	12	5	42768	mmu-let-7f*	Experimental	
4	1	5	9	42510	hsa-let-7f-2*	Experimental	
4	3	5	9	42510	hsa-let-7f-2*	Experimental	
4	5	5	9	42510	hsa-let-7f-2*	Experimental	
4	7	5	9	42510	hsa-let-7f-2*	Experimental	
4	2	15	4	42778	mmu-let-7g*	Experimental	
4	4	15	4	42778	mmu-let-7g*	Experimental	
4	6	15	4	42778	mmu-let-7g*	Experimental	
4	8	15	4	42778	mmu-let-7g*	Experimental	
2	1	16	9	19602	mmu-let-7g	Experimental	
2	3	16	9	19602	mmu-let-7g	Experimental	
2	5	16	9	19602	mmu-let-7g	Experimental	
2	7	16	9	19602	mmu-let-7g	Experimental	
1	1	10	4	42534	rno-let-7i*	Experimental	
1	3	10	4	42534	rno-let-7i*	Experimental	
1	5	10	4	42534	rno-let-7i*	Experimental	
1	7	10	4	42534	rno-let-7i*	Experimental	
3	1	16	9	19580	rno-let-7i	Experimental	
3	3	16	9	19580	rno-let-7i	Experimental	
3	5	16	9	19580	rno-let-7i	Experimental	
3	7	16	9	19580	rno-let-7i	Experimental	
3	1	8	5	42573	mmu-miR-1	Experimental	
3	3	8	5	42573	mmu-miR-1	Experimental	
3	5	8	5	42573	mmu-miR-1	Experimental	
3	7	8	5	42573	mmu-miR-1	Experimental	
2	2	16	6	42563	hsa-miR-100*	Experimental	
2	4	16	6	42563	hsa-miR-100*	Experimental	
2	6	16	6	42563	hsa-miR-100*	Experimental	
2	8	16	6	42563	hsa-miR-100*	Experimental	
2	2	3	4	19581	rno-miR-100	Experimental	
2	4	3	4	19581	rno-miR-100	Experimental	
2	6	3	4	19581	rno-miR-100	Experimental	
2	8	3	4	19581	rno-miR-100	Experimental	
3	2	12	1	17935	rno-miR-101a*	Experimental	
3	4	12	1	17935	rno-miR-101a*	Experimental	
3	6	12	1	17935	rno-miR-101a*	Experimental	
3	8	12	1	17935	rno-miR-101a*	Experimental	
3	1	16	5	31026	rno-miR-101a	Experimental	
3	3	16	5	31026	rno-miR-101a	Experimental	
3	5	16	5	31026	rno-miR-101a	Experimental	
3	7	16	5	31026	rno-miR-101a	Experimental	
1	1	9	3	10919	rno-miR-103	Experimental	
1	3	9	3	10919	rno-miR-103	Experimental	
1	5	9	3	10919	rno-miR-103	Experimental	
1	7	9	3	10919	rno-miR-103	Experimental	
3	1	14	1	5250	hsa-miR-105	Experimental	
3	3	14	1	5250	hsa-miR-105	Experimental	
3	5	14	1	5250	hsa-miR-105	Experimental	
3	7	14	1	5250	hsa-miR-105	Experimental	
3	2	16	6	42562	hsa-miR-105*	Experimental	
3	4	16	6	42562	hsa-miR-105*	Experimental	
3	6	16	6	42562	hsa-miR-105*	Experimental	
3	8	16	6	42562	hsa-miR-105*	Experimental	
2	2	9	5	42648	hsa-miR-106a	Experimental	
2	4	9	5	42648	hsa-miR-106a	Experimental	
2	6	9	5	42648	hsa-miR-106a	Experimental	
2	8	9	5	42648	hsa-miR-106a	Experimental	
4	2	9	4	42508	hsa-miR-106a*	Experimental	
4	4	9	4	42508	hsa-miR-106a*	Experimental	
4	6	9	4	42508	hsa-miR-106a*	Experimental	
4	8	9	4	42508	hsa-miR-106a*	Experimental	
4	2	6	3	17854	rno-miR-106b*	Experimental	
4	4	6	3	17854	rno-miR-106b*	Experimental	
4	6	6	3	17854	rno-miR-106b*	Experimental	
4	8	6	3	17854	rno-miR-106b*	Experimental	
1	2	3	4	19582	rno-miR-106b	Experimental	
1	4	3	4	19582	rno-miR-106b	Experimental	
1	6	3	4	19582	rno-miR-106b	Experimental	
1	8	3	4	19582	rno-miR-106b	Experimental	
4	2	2	1	10923	rno-miR-107	Experimental	
4	4	2	1	10923	rno-miR-107	Experimental	
4	6	2	1	10923	rno-miR-107	Experimental	
4	8	2	1	10923	rno-miR-107	Experimental	
2	1	6	4	28019	rno-miR-10a-3p	Experimental	
2	3	6	4	28019	rno-miR-10a-3p	Experimental	
2	5	6	4	28019	rno-miR-10a-3p	Experimental	
2	7	6	4	28019	rno-miR-10a-3p	Experimental	
2	1	14	3	13485	rno-miR-10a-5p	Experimental	
2	3	14	3	13485	rno-miR-10a-5p	Experimental	
2	5	14	3	13485	rno-miR-10a-5p	Experimental	
2	7	14	3	13485	rno-miR-10a-5p	Experimental	
2	1	10	7	42969	mmu-miR-10b*	Experimental	
2	3	10	7	42969	mmu-miR-10b*	Experimental	
2	5	10	7	42969	mmu-miR-10b*	Experimental	
2	7	10	7	42969	mmu-miR-10b*	Experimental	
3	2	2	1	10925	rno-miR-10b	Experimental	
3	4	2	1	10925	rno-miR-10b	Experimental	
3	6	2	1	10925	rno-miR-10b	Experimental	
3	8	2	1	10925	rno-miR-10b	Experimental	
2	2	10	4	42551	hsa-miR-122*	Experimental	
2	4	10	4	42551	hsa-miR-122*	Experimental	
2	6	10	4	42551	hsa-miR-122*	Experimental	
2	8	10	4	42551	hsa-miR-122*	Experimental	
4	1	13	1	19583	rno-miR-122	Experimental	
4	3	13	1	19583	rno-miR-122	Experimental	
4	5	13	1	19583	rno-miR-122	Experimental	
4	7	13	1	19583	rno-miR-122	Experimental	
1	2	1	5	42898	rno-miR-124*	Experimental	
1	4	1	5	42898	rno-miR-124*	Experimental	
1	6	1	5	42898	rno-miR-124*	Experimental	
1	8	1	5	42898	rno-miR-124*	Experimental	
4	2	1	3	14328	rno-miR-124	Experimental	
4	4	1	3	14328	rno-miR-124	Experimental	
4	6	1	3	14328	rno-miR-124	Experimental	
4	8	1	3	14328	rno-miR-124	Experimental	
4	2	10	2	17942	rno-miR-125a-3p	Experimental	
4	4	10	2	17942	rno-miR-125a-3p	Experimental	
4	6	10	2	17942	rno-miR-125a-3p	Experimental	
4	8	10	2	17942	rno-miR-125a-3p	Experimental	
2	2	2	1	10928	rno-miR-125a-5p	Experimental	
2	4	2	1	10928	rno-miR-125a-5p	Experimental	
2	6	2	1	10928	rno-miR-125a-5p	Experimental	
2	8	2	1	10928	rno-miR-125a-5p	Experimental	
4	1	16	5	30787	rno-miR-125b-5p	Experimental	
4	3	16	5	30787	rno-miR-125b-5p	Experimental	
4	5	16	5	30787	rno-miR-125b-5p	Experimental	
4	7	16	5	30787	rno-miR-125b-5p	Experimental	
4	1	12	1	17876	rno-miR-125b-3p	Experimental	
4	3	12	1	17876	rno-miR-125b-3p	Experimental	
4	5	12	1	17876	rno-miR-125b-3p	Experimental	
4	7	12	1	17876	rno-miR-125b-3p	Experimental	
2	2	10	6	42845	rno-miR-125b*	Experimental	
2	4	10	6	42845	rno-miR-125b*	Experimental	
2	6	10	6	42845	rno-miR-125b*	Experimental	
2	8	10	6	42845	rno-miR-125b*	Experimental	
3	1	8	4	33596	rno-miR-126*	Experimental	
3	3	8	4	33596	rno-miR-126*	Experimental	
3	5	8	4	33596	rno-miR-126*	Experimental	
3	7	8	4	33596	rno-miR-126*	Experimental	
1	1	2	1	4610	rno-miR-126	Experimental	
1	3	2	1	4610	rno-miR-126	Experimental	
1	5	2	1	4610	rno-miR-126	Experimental	
